,ROI 41,ROI 48,ROI 49
0,0.0045181427298749965,0.02772502805266,0.03655118126547899
1,0.008480472479968998,0.025927049104531003,0.036196184680649
2,0.005969473941186992,0.022588180326841012,0.034342198757327
3,0.005818126075842006,0.029924582916127013,0.037633877537979005
4,0.0019880388906020063,0.027626612590119004,0.03757081208871299
5,0.007864369068604993,0.025297163423304014,0.03576534782184801
6,0.00291717954374901,0.027060818108291,0.035515161017287994
7,0.005176214108552013,0.022119462147039,0.033408917853983006
8,0.007152077939309998,0.026147744861795025,0.03771414531874401
9,0.007421209376911014,0.030149146791885018,0.03772786002526099
10,0.010744974292345,0.026280099256326017,0.03172028622536199
11,0.0014486154471080037,0.030560934985170013,0.03545690356738901
12,0.004343942924620009,0.029120034146658008,0.03453616563985901
13,0.012290310126278015,0.030146402804612005,0.03280189830375599
14,0.011095922263598013,0.027065569203867018,0.03642607271277801
15,0.008936694898737996,0.03025401272561401,0.03429222638065599
16,0.011769828319058012,0.031621895469578,0.03591405412686999
17,0.010424182702125001,0.02905010002052602,0.038735544472222994
18,0.008505367809711006,0.031495869131085014,0.035533605607284
19,0.009025941769032014,0.028960466322278,0.033720971637534985
20,0.010927892954388008,0.029014700008065025,0.03409852371769201
21,0.014510881518559005,0.027740310386625,0.03535510396961
22,0.008757676697420003,0.031073129882359024,0.034482913619927
23,0.004934857990783997,0.029156250730340005,0.031356605174029994
24,0.002335056771138988,0.02880815674876802,0.03991676466315899
25,0.008294221610829988,0.02596963516117401,0.037677299497831995
26,0.008553144480179992,0.030035247699043005,0.036217333594047996
27,0.01073314911144499,0.027232083326239,0.03421845695760101
28,0.011997188701183992,0.024383561821872013,0.031174579042549
29,0.010568752128540998,0.026257643626060007,0.03279782435833001
30,0.010941488146186007,0.030673836317386016,0.034105385270920996
31,0.012976911074834008,0.028510196908756003,0.03395449427216299
32,0.011360575489805014,0.027328959371186012,0.036915641473851984
33,0.008699911347004013,0.025042013823732,0.038381039287947005
34,0.012920428826001001,0.029270679069389016,0.032793392312473996
35,0.00961298787145301,0.028005815409504003,0.030005919196625985
36,0.0056291404907480025,0.023186166909979017,0.03408981402591199
37,0.009313534265167012,0.028278559082016014,0.033691027577266996
38,0.012698956343207002,0.02355758535712102,0.033332845684800994
39,0.00943464693649601,0.032458546305380004,0.033450444318484984
40,0.008470922941357012,0.025486895352438005,0.03676880203582
41,0.004740689509201007,0.02469709177058002,0.03361840923814299
42,0.010825961043862992,0.023423362493824013,0.026138921913025998
43,0.005122983488599991,0.027123626007239998,0.03144609386720701
44,0.010734212832766987,0.022933265997806013,0.03463649560695101
45,0.012132563130472007,0.021630166029080022,0.03367751211518799
46,0.004137655533689,0.02719416251561302,0.036770733427306995
